category,feature_id,feature,LT_linktree,BC_beacons,BL_biolink,LB_lnkbio,SS_stanstore,CR_carrd,LL_later,TP_taplink,MS_milkshake,CS_campsite,TD_tadaify_planned
B Editor,B10,Block templates (pre-made),Y,Y,P,Y,Y,N,Y,Y,Y,Y,
B Editor,B11,Section dividers / headers,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
B Editor,B12,Conditional blocks (geo/device),N,N,N,N,N,N,N,N,N,N,Planned-diff
B Editor,B13,Block scheduling (publish/expire),$Starter,Y,N,N,N,N,Y,Y,N,Y,
B Editor,B14,Block-level A/B testing,N,N,N,N,N,N,N,N,N,N,Planned-diff
B Editor,B15,AI copy assist inside editor,P,Y,Y,N,Y,N,N,Y,N,N,
C Public page,C1,Hero / cover layout,P,Y,P,P,Y,Y,Y,Y,Y,P,
C Public page,C2,Stacked list (buttons only),Y,Y,Y,Y,N,P,Y,Y,N,Y,
C Public page,C3,Grid layout,$,Y,N,Y,Y,Y,Y,Y,Y,Y,
C Public page,C4,Multi-page,N,N,N,N,Y,Y,N,Y,Y,N,
C Public page,C5,Custom (sub)domain on free tier,N,N,Y,N,N,N,N,N,N,N,
C Public page,C6,Custom domain any tier,$Pro,$Pro,$Premium,$Unique,Y,$ProLite,$,$Business,$Lite,$Pro,
C Public page,C7,Password protection,N,N,N,N,Y,$ProPlus,N,N,N,N,
C Public page,C8,Age gate 18+,N,N,N,N,N,N,N,N,N,N,Planned-diff
C Public page,C9,NSFW / adult content allowed,N,P,?,?,P,Y,P,P,P,P,Planned-diff
C Public page,C10,Geo restriction / redirect,N,N,N,N,N,N,N,N,N,N,Planned-diff
C Public page,C11,SEO meta customization,$Pro,$,P,P,Y,Y,Y,$,P,$,
C Public page,C12,Open Graph / social card,$,Y,Y,Y,Y,Y,Y,Y,Y,Y,
C Public page,C13,Favicon upload,$,Y,P,P,Y,Y,Y,$,Y,Y,
C Public page,C14,Manifest / PWA,N,P,N,N,N,N,N,N,N,N,
C Public page,C15,Page load time seconds median,1.2,1.5,1.0,1.3,1.8,0.5,2.0,1.5,1.2,1.3,
D Design,D1,Theme gallery,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
D Design,D2,Template count,~30,~40,~20,368+,~25,~60+,~15,~30,80+,~30,
D Design,D3,Custom CSS,$Premium,N,N,N,N,$ProStandard,N,N,N,N,
D Design,D4,Custom fonts upload,N,Y,P,Y (Google 44k),Y,N,P,P,N,Y,
D Design,D5,Dark mode toggle,P,Y,P,P,Y,P,P,P,Y,P,
D Design,D6,Mobile preview in editor,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
D Design,D7,Desktop preview in editor,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,
D Design,D8,Animation library (entrance/button),P,N,N,N,N,P,N,N,N,N,Planned-diff-strong
D Design,D9,Button style presets,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
D Design,D10,Cover photo / hero image,$,Y,Y,Y,Y,Y,Y,Y,Y,Y,
D Design,D11,Background video,$Pro,Y,P,Y,P,P,P,Y,Y,P,
D Design,D12,Auto-extract palette from avatar,N,P,N,N,P,N,N,N,N,N,Planned-diff
E Monetization,E1,Tip jar / donations,Y,Y,P,N,Y,P,N,Y,N,P,
E Monetization,E2,Digital product sales,$Starter,Y,N,N,Y,P,N,Y,N,N,
E Monetization,E3,Subscription / membership,P,Y,N,N,Y,N,N,P,N,N,
E Monetization,E4,Paid DMs,N,Y,N,N,N,N,N,N,N,N,
E Monetization,E5,Booking / calendar sales,P,Y,N,N,Y,P,N,Y,N,N,
E Monetization,E6,Course sales,N,P,N,N,Y,N,N,N,N,N,
E Monetization,E7,Stripe Connect,Y,Y,N,N,Y,Y,N,Y,N,N,
E Monetization,E8,PayPal,Y,Y,N,N,Y,Y,N,Y,N,N,
E Monetization,E9,Square,Y,N,N,N,N,N,N,Y,N,N,
E Monetization,E10,Crypto payments,N,N,N,N,N,N,N,P,N,N,
E Monetization,E11,Platform fee on free tier %,12,9,0,0,N/A,0,N/A,0,0,0,
E Monetization,E12,Platform fee on top tier %,0,0,0,0,0,0,0,0,0,0,
E Monetization,E13,Payout schedule configurable,P,P,N/A,N/A,Y,N/A,N/A,P,N/A,N/A,
E Monetization,E14,EU VAT / tax handling,P,P,N,N,Y,N,N,P,N,N,
F Commerce,F1,Shopify product sync,$Premium,Y,N,N,Y,P,Y,N,N,N,
F Commerce,F2,WooCommerce,P,N,N,N,N,P,N,N,N,N,
F Commerce,F3,Native product catalog,N,Y,N,N,Y,N,N,Y,N,N,
F Commerce,F4,Inventory tracking,N,P,N,N,Y,N,N,P,N,N,
F Commerce,F5,SKU tracking,N,P,N,N,Y,N,N,P,N,N,
F Commerce,F6,Discount codes,N,Y,N,N,Y,N,N,Y,N,N,
F Commerce,F7,Native cart multi-item,N,Y,N,N,Y,N,N,Y,N,N,
F Commerce,F8,1-click checkout / upsells,N,P,N,N,Y,N,N,P,N,N,
G Analytics,G1,Page views,Y,Y,Y,Y,Y,P,Y,Y,Y,Y,
G Analytics,G2,Link clicks total,Y,Y,Y,Y,Y,P,Y,Y,Y,Y,
G Analytics,G3,Per-link CTR,$Pro,Y,P,$paid,Y,N,Y,Y,Y,$Pro,
G Analytics,G4,UTM support,$Pro,Y,P,P,Y,P,Y,Y,P,$,
G Analytics,G5,Google Analytics integration,$,Y,Y,$,Y,Y,Y,Y,Y,Y,
G Analytics,G6,Meta Pixel,$,Y,P,P,Y,Y,Y,Y,P,$,
G Analytics,G7,TikTok Pixel,$,Y,N,N,Y,P,Y,Y,N,N,
G Analytics,G8,Heatmap / scrollmap,N,N,N,N,N,N,N,N,N,N,Planned-diff
G Analytics,G9,Geo analytics,$Pro,Y,P,$,Y,N,Y,Y,Y,$Pro,
G Analytics,G10,Device breakdown,$Pro,Y,P,$,Y,N,Y,Y,Y,$Pro,
G Analytics,G11,Traffic source / referrer,$Pro,Y,P,$,Y,N,Y,Y,Y,$Pro,
G Analytics,G12,Export CSV,$Pro,Y,N,N,Y,N,Y,Y,Y,Y,
G Analytics,G13,Analytics API public endpoint,$Premium,N,N,N,P,N,N,N,N,$ProPlus,
G Analytics,G14,Data retention months,12,?,?,?,24,Infinite (GA),13,?,?,?,
G Analytics,G15,Revenue attribution per link,N,P,N,N,Y,N,N,P,N,N,Planned-diff
H Integrations,H1,Mailchimp,Y,Y,P,P,Y,Y,Y,Y,Y,Y,
H Integrations,H2,ConvertKit / Kit,Y,Y,P,P,Y,Y,Y,P,P,Y,
H Integrations,H3,Beehiiv,P,P,N,N,P,P,N,N,N,P,
H Integrations,H4,Substack,P,P,P,P,P,P,P,P,P,P,
H Integrations,H5,Calendly,Y,N,P,P,Y,Y,N,Y,P,P,
H Integrations,H6,Cal.com,P,N,P,P,P,P,N,P,N,P,
H Integrations,H7,Zapier,Y,P,P,P,Y,P,P,P,N,P,
H Integrations,H8,Make (Integromat),P,N,N,N,P,P,N,P,N,P,
H Integrations,H9,Shopify,$Premium,Y,N,N,Y,P,Y,N,N,N,
H Integrations,H10,Stripe,Y,Y,N,N,Y,Y,N,Y (50+),N,N,
H Integrations,H11,Gumroad,P,P,P,P,P,Y,P,P,P,P,
H Integrations,H12,Teachable / Thinkific,P,P,N,N,P,P,P,P,N,P,
H Integrations,H13,Patreon,Y,Y,P,P,P,P,P,P,P,P,
H Integrations,H14,OnlyFans,N,P,P,P,N,P,P,P,P,P,
H Integrations,H15,Spotify artist,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
H Integrations,H16,Klaviyo,Y,P,P,P,P,P,P,P,P,P,
H Integrations,H17,HubSpot,P,P,P,P,P,P,P,P,P,P,
I AI,I1,AI copywriter bio/titles,P,Y,Y,N,Y,N,N,Y,N,N,
I AI,I2,AI image / graphic gen,N,P,P,N,P,N,N,N,N,N,
I AI,I3,AI theme / palette suggestion,P,P,N,N,N,N,N,P,N,N,Planned-diff
I AI,I4,AI layout suggestion,P,P,N,N,N,N,N,Y,N,N,Planned-diff
I AI,I5,AI link categorization,N,P,N,N,N,N,N,N,N,N,
I AI,I6,AI analytics insights,N,Y,P,N,Y,N,N,N,N,N,
I AI,I7,AI reply / DM automation,N,P,N,N,Y,N,N,N,N,N,
I AI,I8,AI brand outreach pitch email,N,Y,N,N,N,N,N,N,N,N,
I AI,I9,AI full-page generator from prompt,P,Y,Y,N,P,N,N,Y,N,N,
J Team,J1,Multi-user workspace,$beta,N,N,$Agency,N,N,Y,N,N,$ProPlus,
J Team,J2,Role-based access,$,N,N,P,N,N,Y,N,N,P,
J Team,J3,Audit log,$Enterprise,N,N,N,N,N,P,N,N,N,
J Team,J4,SSO SAML/Okta,N,N,N,N,N,N,P,N,N,N,
J Team,J5,SCIM provisioning,N,N,N,N,N,N,N,N,N,N,
J Team,J6,Agency view / sub-accounts,$Enterprise,N,N,$,N,N,Y,N,N,$ProPlus,
J Team,J7,White-label,$Enterprise,N,N,P,N,N,P,N,N,P,
J Team,J8,Remove platform branding,$Starter,$Pro,Y-FREE,$Mini,N/A,$Pro,$,$Pro,$Lite,$Pro,
K API,K1,Public REST API,P,N,N,N,P,N,Y,N,N,Y,
K API,K2,Webhooks,P,N,N,N,P,N,Y,N,N,Y,
K API,K3,OAuth public app,P,N,N,N,N,N,Y,N,N,P,
K API,K4,Embeddable widget (iframe),Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
K API,K5,JavaScript snippet / pixel,Y,Y,Y,Y,Y,Y,Y,Y,P,Y,
K API,K6,Custom HTML block (raw code),$Premium,P,N,N,N,$Pro,N,Y,N,P,
K API,K7,Plugin / app marketplace,Y,N,N,N,N,N,N,N,N,N,
L Growth,L1,Built-in referral program,N,N,N,N,P,N,N,N,N,N,
L Growth,L2,Built-in affiliate program,N,Y,N,N,Y,N,N,N,N,N,
L Growth,L3,Discover / explore page,P,P,N,N,N,N,N,N,N,N,
L Growth,L4,Follower / follow mechanic,N,N,N,N,N,N,N,N,N,N,
L Growth,L5,Creator directory public,N,P,N,N,N,N,N,N,N,N,
L Growth,L6,Shareable media kit,P,Y,N,N,P,N,N,N,N,N,
L Growth,L7,QR code generator,Y,Y,Y,Y,Y,P,Y,Y,Y,Y,
M Compliance,M1,GDPR data export self-serve,P,P,P,P,P,P,Y,P,P,P,
M Compliance,M2,GDPR account delete,P,P,P,P,Y,P,Y,P,P,P,
M Compliance,M3,DPA available,Y,P,P,P,Y,P,Y,P,P,P,
M Compliance,M4,SOC2 Type 2,?,?,N,N,P,N,Y,N,N,N,
M Compliance,M5,ISO 27001,?,N,N,N,N,N,P,N,N,N,
M Compliance,M6,Uptime SLA published,N,N,N,N,P,N,P,N,N,N,
M Compliance,M7,Public status page,Y,P,P,N,Y,P,Y,P,P,Y,
M Compliance,M8,Moderation transparency (clear TOS+appeal),N,P,P,P,P,Y,P,P,P,P,Planned-diff
N Mobile,N1,Native iOS app,Y,Y,N,P,Y,N,Y,P,Y,N,
N Mobile,N2,Native Android app,Y,Y,N,P,Y,N,Y,P,Y,N,
N Mobile,N3,App parity with web,P,P,N/A,N/A,Y,N/A,P,N/A,Mobile-only,N/A,
N Mobile,N4,Mobile-first editor,P,P,P,P,P,Y,P,P,Y,P,
N Mobile,N5,QR code generator in app,Y,Y,P,Y,Y,P,Y,Y,Y,Y,
N Mobile,N6,Push notifications,Y,Y,N,N,Y,N,Y,P,Y,N,
O Content,O1,Blog posts native CMS,N,P,N,N,P,P,N,P,N,N,
O Content,O2,Long-form pages / about,P,Y,P,P,Y,Y,P,Y,Y,P,
O Content,O3,Multi-link list canonical,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
O Content,O4,E-signatures,N,N,N,N,N,N,N,N,N,N,
O Content,O5,PDF hosting / download gate,P,Y,N,N,Y,P,N,P,N,N,
O Content,O6,Audio player native,Y,Y,Y,Y,P,P,P,Y,Y,Y,
O Content,O7,Video hosting native,N,N,N,N,P,N,N,N,N,N,
O Content,O8,Livestream link / schedule,P,P,P,P,P,N,P,P,N,P,
